year,artist,title,spotify_query,spotify_id
2000,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2000,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2001,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2001,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2001,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2001,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2001,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2001,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2001,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2001,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2001,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2001,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2002,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2002,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2002,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2002,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2002,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2002,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2002,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2002,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2002,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2002,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2003,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2003,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2003,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2003,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2003,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2003,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2003,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2003,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2003,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2003,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2004,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2004,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2004,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2004,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2004,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2004,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2004,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2004,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2004,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2004,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2005,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2005,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2005,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2005,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2005,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2005,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2005,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2005,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2005,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2005,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2006,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2006,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2006,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2006,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2006,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2006,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2006,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2006,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2006,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2006,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2007,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2007,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2007,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2007,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2007,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2007,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2007,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2007,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2007,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2007,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2008,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2008,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2008,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2008,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2008,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2008,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2008,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2008,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2008,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2008,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2009,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2009,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2009,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2009,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2009,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2009,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2009,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2009,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2009,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2009,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2010,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2010,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2010,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2010,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2010,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2010,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2010,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2010,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2010,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2010,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2011,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2011,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2011,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2011,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2011,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2011,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2011,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2011,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2011,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2011,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2012,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2012,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2012,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2012,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2012,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2012,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2012,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2012,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2012,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2012,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2013,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2013,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2013,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2013,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2013,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2013,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2013,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2013,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2013,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2013,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2014,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2014,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2014,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2014,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2014,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2014,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2014,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2014,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2014,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2014,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2015,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2015,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2015,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2015,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2015,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2015,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2015,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2015,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2015,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2015,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2016,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2016,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2016,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2016,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2016,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2016,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2016,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2016,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2016,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2016,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2017,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2017,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2017,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2017,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2017,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2017,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2017,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2017,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2017,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2017,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2018,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2018,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2018,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2018,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2018,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2018,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2018,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2018,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2018,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2018,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2019,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2019,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2019,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2019,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2019,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2019,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2019,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2019,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2019,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2019,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2020,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2020,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2020,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2020,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2020,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2020,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2020,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2020,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2020,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2020,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2021,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2021,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2021,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2021,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2021,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2021,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2021,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2021,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2021,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2021,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2022,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2022,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2022,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2022,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2022,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2022,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2022,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2022,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2022,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2022,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2023,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2023,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2023,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2023,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2023,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2023,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2023,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2023,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2023,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2023,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2024,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2024,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2024,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2024,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2024,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2024,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2024,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2024,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2024,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2024,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2025,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2025,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2025,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2025,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2025,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2025,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2025,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2025,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
2025,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
2025,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
